Title,Publication Year,DOI,Abstract,key_words,Authors
Integrated Analysis of Per- and Polyfluoroalkyl Substance Exposure and Metabolic Profiling of Elderly Residents Living near Industrial Plants,2024,10.1021/acs.est.3c09014,"Per- and polyfluoroalkyl substances (PFASs) are widely used in industrial production, causing potential health risks to the residents living around chemical industrial plants; however, the lack of data on population exposure and adverse effects impedes our understanding and ability to prevent risks. In this study, we performed screening and association analysis on exogenous PFAS pollutants and endogenous small-molecule metabolites in the serum of elderly residents living near industrial plants. Exposure levels of 11 legacy and novel PFASs were determined. PFOA and PFOS were major contributors, and PFNA, PFHxS, and 6:2 Cl-PFESA also showed high detection frequencies. Association analysis among PFASs and 287 metabolites identified via non-target screening was performed with adjustments of covariates and false discovery rate. Strongly associated metabolites were predominantly lipid and lipid-like molecules. Steroid hormone biosynthesis, primary bile acid biosynthesis, and fatty-acid-related pathways, including biosynthesis of unsaturated fatty acids, linoleic acid metabolism, ¦Á-linolenic acid metabolism, and fatty acid biosynthesis, were enriched as the metabolic pathways associated with mixed exposure to multiple PFASs, providing metabolic explanation and evidence for the potential mediating role of adverse health effects as a result of PFAS exposure. Our study achieved a comprehensive screening of PFAS exposure and associated metabolic profiling, demonstrating the promising application for integrated analysis of exposome and metabolome. ? 2024 American Chemical Society.",Aged; Alkanesulfonic Acids; Environmental Pollutants; Fatty Acids; Fluorocarbons; Humans; Metabolomics; Biochemistry; Biomolecules; Biosynthesis; Health risks; Linoleic acid; Metabolism; Population statistics; Steroid hormones; Unsaturated fatty acids; bile acid; linoleic acid; linolenic acid; perfluoro compound; unsaturated fatty acid; alkanesulfonic acid; fatty acid; fluorocarbon; Association analysis; Environmental health; Exposome; Human serum; Industrial production; Integrated analysis; Metabolic profiling; Metabolomics; Non-target metabolomic; Polyfluoroalkyl substances; chemical substance; fatty acid; hormone; lipid; serum; aged; Article; calibration; controlled study; exposome; exposure; fatty acid synthesis; female; human; limit of quantitation; long term exposure; major clinical study; male; metabolic fingerprinting; metabolome; metabolomics; population exposure; quality control; quantitative analysis; risk assessment; steroidogenesis; pollutant; Metabolites,
Prediction of the Interactions of a Large Number of Per- and Poly-Fluoroalkyl Substances with Ten Nuclear Receptors,2024,10.1021/acs.est.3c05974,"Per- and poly-fluoroalkyl substances (PFASs) are persistent, toxic chemicals that pose significant hazards to human health and the environment. Screening large numbers of chemicals for their ability to act as endocrine disruptors by modulating the activity of nuclear receptors (NRs) is challenging because of the time and cost of in vitro and in vivo experiments. For this reason, we need computational approaches to screen these chemicals and quickly prioritize them for further testing. Here, we utilized molecular modeling and machine-learning predictions to identify potential interactions between 4545 PFASs with ten different NRs. The results show that some PFASs can bind strongly to several receptors. Further, PFASs that bind to different receptors can have very different structures spread throughout the chemical space. Biological validation of these in silico findings should be a high priority. ? 2024 The Authors. Published by American Chemical Society.","Endocrine Disruptors; Fluorocarbons; Humans; Receptors, Cytoplasmic and Nuclear; cell receptor; endocrine disruptor; fluorocarbon; Androgen receptor PPAR; Androgen receptors; Endocrine disruption; Endocrine-disruptors; Estrogen receptor; Human health; In-vitro; Nuclear receptors; Poly-fluoroalkyl substance; Toxic chemicals; androgen; cost analysis; ecological modeling; endocrine disruptor; chemistry; human; metabolism; Health hazards",
"Suspect, Nontarget Screening, and Toxicity Prediction of Per- and Polyfluoroalkyl Substances in the Landfill Leachate",2024,10.1021/acs.est.3c07533,"Landfills are the final stage of urban wastes containing perfluoroalkyl and polyfluoroalkyl substances (PFASs). PFASs in the landfill leachate may contaminate the surrounding groundwater. As major environmental pollutants, emerging PFASs have raised global concern. Besides the widely reported legacy PFASs, the distribution and potential toxic effects of numerous emerging PFASs remain unclear, and unknown PFASs still need discovery and characterization. This study proposed a comprehensive method for PFAS screening in leachate samples using suspect and nontarget analysis. A total of 48 PFASs from 10 classes were identified; nine novel PFASs including eight chloroperfluoropolyether carboxylates (Cl-PFPECAs) and bistriflimide (HNTf2) were reported for the first time in the leachate, where Cl-PFPECA-3,1 and Cl-PFPECA-2,2 were first reported in environmental media. Optimized molecular docking models were established for prioritizing the PFASs with potential activity against peroxisome proliferator-activated receptor ¦Á and estrogen receptor ¦Á. Our results indicated that several emerging PFASs of N-methyl perfluoroalkyl sulfonamido acetic acids (N-MeFASAAs), n:3 fluorotelomer carboxylic acid (n:3 FTCA), and n:2 fluorotelomer sulfonate (n:2 FTSA) have potential health risks that cannot be ignored. ? 2024 American Chemical Society.","Alkanesulfonates; Carboxylic Acids; Fluorocarbons; Molecular Docking Simulation; Waste Disposal Facilities; Water Pollutants, Chemical; Carboxylation; Cells; Cytology; Health risks; Leachate treatment; Molecular modeling; Solvents; Toxicity; alkanesulfonic acid; carboxylic acid; fluorocarbon; Cl-PFPECA; Environmental pollutants; Landfill leachates; Molecular docking; Non-target screenings; Perfluoroalkyl substances; Polyfluoroalkyl substances; Toxic effect; Toxicity predictions; Urban wastes; carboxylic acid; landfill; leachate; sulfonate; toxicity; analysis; molecular docking; waste disposal facility; water pollutant; Groundwater",
Assessment of Potential Accumulation of Trifluoroacetate in Terminal Lakes,2024,10.1021/acs.est.3c08822,"Trifluoroacetate (TFA) is the anionic form of the shortest perfluorocarboxylic acid (PFCA) and is ubiquitous in the environment at concentrations that are typically much higher than those of other PFCAs. As a stable and nonvolatile anion, it is expected to accumulate in terminal lakes in endorheic basins. This research sampled eight terminal lakes in the Western United States to determine the degree to which TFA is concentrating in these lakes and compare the data to samples collected from three of these lakes 25 years ago. The first observation was that three of the six terminal lakes sampled had higher TFA concentrations than their input streams, while the last two lakes lacked surface water inputs at the sampling time. The TFA concentrations in Mono Lake effectively remained constant over 25 years despite the input stream concentrations increasing 6.5-fold. In contrast, Pyramid Lake concentrations increased approximately the expected amount based on a simplistic analysis of input flows and concentrations. An additional observation was that lakes in basins with agricultural activity appeared to have higher TFA concentrations, which suggests an agricultural input. ? 2024 The Author. Published by American Chemical Society.","Environmental Monitoring; Lakes; Trifluoroacetic Acid; United States; Water; Water Pollutants, Chemical; California; Mono Lake; Pyramid Lake [Nevada]; United States; United States; Agriculture; surface water; trifluoroacetic acid; trifluoroacetic acid; water; A-stable; Endorheic basin; Input streams; Nonvolatile; Perfluorocarboxylic acid; PFAA; Surface water inputs; Terminal lakes; Trifluoroacetates; Western United States; assessment method; chemical compound; lake water; surface water; aquatic species; Article; atmospheric deposition; bioaccumulation; conductance; controlled study; ion monitoring; lake; lake basin; liquid chromatography; method detection limit; negative ion electrospray; pH; quality control; runoff; seasonal variation; tandem mass spectrometry; terminal lake; United States; water flow; environmental monitoring; water pollutant; Lakes",
Effects of Halides on Organic Compound Degradation during Plasma Treatment of Brines,2024,10.1021/acs.est.3c07162,"Plasma has been proposed as an alternative strategy to treat organic contaminants in brines. Chemical degradation in these systems is expected to be partially driven by halogen oxidants, which have been detected in halide-containing solutions exposed to plasma. In this study, we characterized specific mechanisms involving the formation and reactions of halogen oxidants during plasma treatment. We first demonstrated that addition of halides accelerated the degradation of a probe compound known to react quickly with halogen oxidants (i.e., para-hydroxybenzoate) but did not affect the degradation of a less reactive probe compound (i.e., benzoate). This effect was attributed to the degradation of para-hydroxybenzoate by hypohalous acids, which were produced via a mechanism involving halogen radicals as intermediates. We applied this mechanistic insight to investigate the impact of constituents in brines on reactions driven by halogen oxidants during plasma treatment. Bromide, which is expected to occur alongside chloride in brines, was required to enable halogen oxidant formation, consistent with the generation of halogen radicals from the oxidation of halides by hydroxyl radical. Other constituents typically present in brines (i.e., carbonates, organic matter) slowed the degradation of organic compounds, consistent with their ability to scavenge species involved during plasma treatment. ? 2024 American Chemical Society.","Halogens; Hydroxybenzoates; Hydroxyl Radical; Organic Chemicals; Oxidants; Oxidation-Reduction; Salts; Water Pollutants, Chemical; Chlorine compounds; Halogenation; Organic compounds; Plasma applications; Probes; 4 hydroxybenzoic acid; benzoic acid; bromide; halide; halogen; hydroxyl radical; natural organic matter; nitrogen; organic compound; oxidizing agent; oxygen; paracetamol; radical; reactive nitrogen species; sulfamethoxazole; brine; hydroxybenzoic acid derivative; organic compound; oxidizing agent; sodium chloride; Brine treatment; Chemical degradation; Exposed to; Halide; Halogen radical; Hydroxyl radicals; Hypohalous acids; Mechanistics; Organic contaminant; Plasma treatment; biodegradation; brine; chloride; halogen; oxidant; plasma; Article; conductance; controlled study; degradation; ionic strength; rate constant; spectroscopy; chemistry; oxidation reduction reaction; water pollutant; Oxidants",
Bioretention Design Modifications Increase the Simulated Capture of Hydrophobic and Hydrophilic Trace Organic Compounds,2024,10.1021/acs.est.3c10375,"Stormwater rapidly moves trace organic contaminants (TrOCs) from the built environment to the aquatic environment. Bioretention cells reduce loadings of some TrOCs, but they struggle with hydrophilic compounds. Herein, we assessed the potential to enhance TrOC removal via changes in bioretention system design by simulating the fate of seven high-priority stormwater TrOCs (e.g., PFOA, 6PPD-quinone, PAHs) with log KOC values between ?1.5 and 6.74 in a bioretention cell. We evaluated eight design and management interventions for three illustrative use cases representing a highway, a residential area, and an airport. We suggest two metrics of performance: mass advected to the sewer network, which poses an acute risk to aquatic ecosystems, and total mass advected from the system, which poses a longer-term risk for persistent compounds. The optimized designs for each use case reduced effluent loadings of all but the most polar compound (PFOA) to <5% of influent mass. Our results suggest that having the largest possible system area allowed bioretention systems to provide benefits during larger events, which improved performance for all compounds. To improve performance for the most hydrophilic TrOCs, an amendment like biochar was necessary; field-scale research is needed to confirm this result. Our results showed that changing the design of bioretention systems can allow them to effectively capture TrOCs with a wide range of physicochemical properties, protecting human health and aquatic species from chemical impacts. ? 2024 The Authors. Published by American Chemical Society.",Effluents; Hydrophilicity; Physicochemical properties; Polycyclic aromatic hydrocarbons; Quinone; Storms; charcoal; organic compound; quinone derivative; storm water; 6PPD-quinone; Benzotriazoles; Bioretention; Persistent mobile and toxic substance; PFOA; Stormwaters; TCEP; Toxic substances; Trace organic compounds; Trace organic contaminants; aquatic environment; aquatic species; article; benchmarking; built environment; controlled study; effluent; highway; human; physical chemistry; residential area; sewer; simulation; Aquatic ecosystems,
The Need to Include a Fluorine Mass Balance in the Development of Effective Technologies for PFAS Destruction,2024,10.1021/acs.est.3c10617,[No abstract available],"Fluorine; Fluorocarbons; Water Pollutants, Chemical; adsorbent; fluoride; organofluorine derivative; perfluoro compound; perfluoroalkanoic acid; perfluorooctanoic acid; fluorine; fluorocarbon; adsorption; analytic method; combustion; concentration (parameter); defluorination; degradation; density functional theory; extraction; fluorine nuclear magnetic resonance; global warming potential; ion chromatography; limit of detection; liquid chromatography-mass spectrometry; mass spectrometry; mineralization; neutron activation analysis; Note; precursor; water pollutant",
"Bioaccumulation and Male Reproductive Toxicity of the New Brominated Flame Retardant Tetrabromobisphenol A-Bis(2,3-dibromo-2-methylpropyl ether) in Comparison with Hexabromocyclododecane",2024,10.1021/acs.est.3c10560,"Tetrabromobisphenol A-bis(2,3-dibromo-2-methylpropyl ether) (TBBPA-DBMPE) has come into use as an alternative to hexabromocyclododecane (HBCD), but it is unclear whether TBBPA-DBMPE has less hazard than HBCD. Here, we compared the bioaccumulation and male reproductive toxicity between TBBPA-DBMPE and HBCD in mice following long-term oral exposure after birth. We found that the concentrations of TBBPA-DBMPE in livers significantly increased with time, exhibiting a bioaccumulation potency not substantially different from HBCD. Lactational exposure to 1000 ¦Ìg/kg/d TBBPA-DBMPE as well as 50 ¦Ìg/kg/d HBCD inhibited testis development in suckling pups, and extended exposure up to adulthood resulted in significant molecular and cellular alterations in testes, with slighter effects of 50 ¦Ìg/kg/d TBBPA-DBMPE. When exposure was extended to 8 month age, severe reproductive impairments including reduced sperm count, increased abnormal sperm, and subfertility occurred in all treated animals, although 50 ¦Ìg/kg/d TBBPA-DBMPE exerted lower effects than 50 ¦Ìg/kg/d HBCD. Altogether, all data led us to conclude that TBBPA-DBMPE exerted weaker male reproductive toxicity than HBCD at the same doses but exhibited bioaccumulation potential roughly equivalent to HBCD. Our study fills the data gap regarding the bioaccumulation and toxicity of TBBPA-DBMPE and raises concerns about its use as an alternative to HBCD. ? 2024 American Chemical Society.","Animals; Bioaccumulation; Ether; Ethers; Ethyl Ethers; Flame Retardants; Hydrocarbons, Brominated; Male; Mice; Polybrominated Biphenyls; Semen; Bioaccumulation; Biochemistry; Flame retardants; Mammals; Toxicity; bromine; ether; flame retardant; hexabromocyclododecane; messenger RNA; testosterone; tetrabromobisphenol A; brominated hydrocarbon; ether; ether derivative; flame retardant; hexabromocyclododecane; polybrominated biphenyl; tetrabromobisphenol A; Brominated flame retardants; Cellulars; Hexabromocyclododecanes; Lactational exposure; Oral exposure; POP; Reproductive toxicities; Testis; Tetrabromobisphenol A-bis(2,3-dibromo-2-methylpropyl ether); Tetrabromobisphenol-A; bioaccumulation; flame retardant; hormone; sperm; toxicity; adult; animal cell; animal experiment; animal model; animal tissue; Article; bioaccumulation; body weight; comparative study; controlled study; experimental design; female; germ cell; lactational exposure; liver tissue; liver weight; long term exposure; male; marker gene; morphology; mouse; nonhuman; occupational exposure; progeny; reproductive toxicity; RNA sequencing; semen abnormality; Sertoli cell; sex ratio; sperm count; spermatocyte; spermatogonium; spermatozoon; subfertility; suckling animal; testis atrophy; testis development; testis weight; testosterone blood level; animal; bioaccumulation; sperm; Ethers",
Bioaccumulation and Potential Endocrine Disruption Risk of Legacy and Emerging Organophosphate Esters in Cetaceans from the Northern South China Sea,2024,10.1021/acs.est.3c09590,"Despite the increasing health risks shown by the continuous detection of organophosphate esters (OPEs) in biota in recent years, information on the occurrence and potential risks of OPEs in marine mammals remains limited. This study conducted the first investigation into the body burdens and potential risks of 10 traditional OPEs (tOPEs) and five emerging OPEs (eOPEs) in 10 cetacean species (n = 84) from the northern South China Sea (NSCS) during 2005-2021. All OPEs, except for 2-ethylhexyl diphenyl phosphate (EHDPHP), were detected in these cetaceans, indicating their widespread occurrence in the NSCS. Although the levels of the ¡Æ10tOPEs in humpback dolphins remained stable from 2005 to 2021, the concentrations of the ¡Æ5eOPEs showed a significant increase, suggesting a growing demand for these new-generation OPEs in South China. Dolphins in proximity to urban regions generally exhibited higher OPE concentrations than those from rural areas, mirroring the environmental trends of OPEs occurring in this area. All OPE congeners, except for EHDPHP, in humpback dolphins exhibited a maternal transfer ratio >1, indicating that the dolphin placenta may not be an efficient barrier for OPEs. The observed significant correlations between levels of OPEs and hormones (triiodothyronine, thyroxine, and testosterone) in humpback dolphins indicated that OPE exposures might have endocrine disruption effects on the dolphin population. ? 2024 American Chemical Society.",Animals; Bioaccumulation; China; Dolphins; Environmental Monitoring; Esters; Flame Retardants; Organophosphates; Phosphates; Pacific Ocean; South China Sea; Biochemistry; Dolphins (structures); Endocrine disrupters; Endocrinology; Esters; Health risks; Mammals; ester; flame retardant; organophosphate; phosphate; Cetacean; Continuous detections; Endocrine disrupting chemicals; Endocrine disruption; Humpback dolphins; Marine mammals; Maternal transfer; Northern South China Sea; Organophosphate esters; Potential risks; bioaccumulation; dolphin; endocrine disruptor; hormone; organophosphate; animal; bioaccumulation; China; environmental monitoring; toothed whale; Hormones,
"Assessment of Fetal Exposure and Elimination of Perfluoroalkyl and Polyfluoroalkyl Substances: New Evidence from Paired Serum, Placenta, and Meconium Samples",2024,10.1021/acs.est.3c08498,"Multiple pieces of evidence have shown that prenatal exposure to perfluoroalkyl and polyfluoroalkyl substances (PFASs) is closely related to adverse birth outcomes for infants. However, difficult access to human samples limits our understanding of PFASs transport and metabolism across the human placental barrier, as well as the accurate assessment of fetal PFASs exposure. Herein, we assess fetal exposure to 28 PFASs based on paired serum, placenta, and meconium samples. Overall, 21 PFASs were identified first to be exposed to the fetus prenatally and to be metabolized and excreted by the fetus. In meconium samples, 25 PFASs were detected, with perfluorooctane sulfonate and perfluorohexane sulfonic acid being the dominant congeners, suggesting the metabolism and excretion of PFASs through meconium. Perfluoroalkyl sulfonic acids might be more easily eliminated through the meconium than perfluorinated carboxylic acids. Importantly, based on molecular docking, MRP1, OATP2B1, ASCT1, and P-gp were identified as crucial transporters in the dynamic placental transfer of PFASs between the mother and the fetus. ATSC5p and PubchemFP679 were recognized as critical structural features that affect the metabolism and secretion of PFASs through meconium. With increasing carbon chain length, both the transplacental transfer efficiency and meconium excretion efficiency of PFASs showed a structure-dependent manner. This study reports, for the first time, that meconium, which is a noninvasive and stable biological matrix, can be strong evidence of prenatal PFASs exposure. ? 2024 American Chemical Society.","Alkanesulfonic Acids; Carboxylic Acids; Female; Fluorocarbons; Humans; Infant, Newborn; Meconium; Molecular Docking Simulation; Placenta; Pregnancy; Efficiency; carboxylic acid; multidrug resistance associated protein 1; organic anion transporter B; peptides and proteins; perfluorohexanesulfonic acid; perfluorooctanesulfonic acid; protein asct1; sulfonic acid derivative; unclassified drug; alkanesulfonic acid; fluorocarbon; Elimination; Enterohepatic circulation; Exposed to; Meconia; Perfluoroalkyl and polyfluoroalkyl substance; Perfluoroalkyl substances; Polyfluoroalkyl substances; Prenatal exposure; Substance transport; Transporter; chemical substance; concentration (composition); excretion; metabolism; sampling; serum; sulfonate; Article; blood sampling; controlled study; electrospray mass spectrometry; female; human; liquid chromatography-mass spectrometry; maternal serum; meconium; molecular docking; multiple reaction monitoring; negative ion electrospray; placenta; placental transfer; positive ion electrospray; prenatal exposure; triple quadrupole mass spectrometry; ultra performance liquid chromatography; umbilical cord blood; metabolism; newborn; pregnancy; Metabolism",
